anio,ubigeo,departamento,provincia,distrito,amenaza_grave,coaccion_grave,maltrato_sin_lesion,violencia_economica_o_patrimonial,violencia_fisica,violencia_fisica_y_psicologica,violencia_psicologica,violencia_sexual,total,prop_viv_tipo,prop_tic_celular,prop_tic_internet,prop_agua_todos_dias,prop_serv_electricidad,prop_nbi_vivienda,prop_nbi_hacinamiento,prop_nbi_sshh,prop_nbi_educacion,prop_nbi_dependencia,prop_es_jefe,prop_es_mujer,prop_en_pareja,prop_edu_superior,prop_edu_basica,prop_alfabetizacion_funcional,prop_lengua_materna_nativa,prop_tic_uso_internet,prop_tic_celular_propio,prop_salud_enfermedad_cronica,prop_tiene_limitacion,prop_tiene_seguro,media_edad,población,TVM,indice_vulnerabilidad
2025,150133,LIMA,LIMA,SAN JUAN DE MIRAFLORES,0,0,0,108,1466,0,2657,8,4239,0.7739972989193075,0.9637839935513864,0.9575682212282164,0.9785478037901082,1.0,0.0251530208946143,0.0748791981945777,0.0,0.0,0.0,0.2795633721730235,1.0,0.4311841645463983,0.3641896469841375,0.6014413625971421,0.9761323580593236,0.135244829214321,0.6245294930749846,0.9053691413660064,0.5498337024632088,0.0557696858785979,0.8985396820483893,47.55296008028729,433709.0,9.77383452960395,0.020489524258858426
2025,150134,LIMA,LIMA,SAN LUIS,0,0,0,38,222,0,452,5,717,0.7988830329924125,1.0,1.0,1.0,1.0,0.0,0.0247581449019731,0.0,0.0,0.0,0.3035930887525022,1.0,0.4609015717673029,0.4355474075308536,0.5523988232252363,0.9879462307560898,0.0399690844962671,0.7738607794033713,0.975464362107274,0.4705310134415213,0.050755211616902,0.986914499708957,49.40991008555375,56875.0,12.606593406593406,0.0030947681127466375
2025,150135,LIMA,LIMA,SAN MARTIN DE PORRES,10,0,0,419,1680,0,3372,24,5505,0.7457769627457527,0.9863588931493832,0.9053925556388316,1.0,1.0,0.0188245268121765,0.0303473212434911,0.0,0.004773415148286,0.0074764010441403,0.2500820659202839,1.0,0.4959687285667319,0.4022761226290864,0.5819483810655884,0.971244901792616,0.05374776385414,0.7528533418029751,0.922710274430876,0.531084889518062,0.072172428353327,0.9318093228845712,47.77732673433229,802774.0,6.85747171682192,0.01950363857615779
2025,150136,LIMA,LIMA,SAN MIGUEL,2,0,0,50,435,0,951,11,1449,0.5244597494915307,0.9697249527920356,0.9459294346129746,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3436320806802862,1.0,0.4597176350586848,0.6380572048461534,0.3439787605397852,0.9820359653859386,0.0,0.9485915256640618,0.9083003182422787,0.554856855109148,0.0451993384233954,0.9647996773069372,49.04191419428485,189947.0,7.62844372377558,0.006758820673378171
2025,150137,LIMA,LIMA,SANTA ANITA,0,0,0,108,748,0,1194,23,2073,0.6068593947881434,0.9924779591077048,0.9167394949650638,1.0,1.0,0.0327599219070368,0.0513854546181243,0.0,0.0,0.0,0.3430073723592061,1.0,0.4816742999756288,0.3688286583526821,0.6202072551522625,0.994295704460634,0.1145729589846384,0.8581972340612306,0.949986184766324,0.5519974266501874,0.0250381799899634,0.830927661572897,45.87949727652898,233865.0,8.864088256045155,0.020925735195012164
2025,150138,LIMA,LIMA,SANTA MARIA DEL MAR,0,0,0,0,4,0,11,0,15,0.5,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.240897778162851,0.5114860615151577,0.7523838396780087,0.1695541386309501,1.0,1.0,0.8,0.2,1.0,45.6,1314.0,11.415525114155251,0.04166666666666667
2025,150139,LIMA,LIMA,SANTA ROSA,0,0,0,13,92,0,167,5,277,0.6483539718409708,0.9264105327629136,0.7447039466925108,1.0,0.9264105327629136,0.1957366696347978,0.0,0.0,0.0,0.0,0.1641151425738869,1.0,0.6041623824037342,0.3005176335126548,0.6994823664873452,1.0,0.01810621142401,0.9094465450724398,0.9423607749592114,0.7662488241805601,0.0,0.9778015662806984,43.35538549445959,48300.0,5.734989648033126,0.06557777377242166
2025,150140,LIMA,LIMA,SANTIAGO DE SURCO,5,1,0,295,943,0,2270,27,3541,0.6391280085665555,0.9902758930858148,0.9849557177607366,1.0,1.0,0.0105420820216716,0.0255863642609349,0.0,0.0,0.0,0.2383625589813776,1.0,0.4654091812549908,0.7363961486922539,0.2606491421628266,0.9970452908550804,0.0336818729754911,0.8909023338660943,0.9518166942270776,0.5844077999722292,0.0462874921788414,0.9622380342856603,51.35582734628149,437028.0,8.102455677897067,0.006396591065233732
2025,150141,LIMA,LIMA,SURQUILLO,0,0,0,51,210,0,517,4,782,0.5085277806487053,1.0,0.8769425935990448,1.0,1.0,0.0,0.0,0.0,0.0252520390714699,0.0,0.3857716578965441,1.0,0.4606045406896273,0.676484698284618,0.323515301715382,1.0,0.046892659976474,0.8314758578716204,0.9726003952238196,0.7880221693735759,0.0807140825526855,0.9192859174473144,57.95790298572712,105004.0,7.44733533960611,0.018538680684053135
2025,150142,LIMA,LIMA,VILLA EL SALVADOR,2,0,0,124,1498,0,2435,23,4082,0.797460105676741,0.979085475980713,0.9634881268447476,0.9795989955404232,0.9941256384787824,0.0394900215499972,0.0137416166436727,0.0,0.0,0.0,0.2865561502557736,1.0,0.4887023303889949,0.3538861945759213,0.6261724475011633,0.9828636180059114,0.1149167165178796,0.6429877428713716,0.9172515039029656,0.5792910136661773,0.0475387046754854,0.9341211172083266,45.81677958084,442292.0,9.229197001076212,0.014502359666214585
2025,150143,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,3,3,0,423,1741,0,3061,51,5282,0.8081570775269965,0.9843128679509956,0.9014430061976616,0.987507315154872,1.0,0.04375520137718,0.0266361690826673,0.039232634810586,0.0,0.0,0.2797345014217028,1.0,0.5461012960254573,0.4166815458515823,0.550133112589116,0.9698214663874392,0.1262933960716164,0.8161063135616512,0.9527163202543564,0.5611289088488578,0.0209196415962093,0.9513866080877222,45.98590233023277,462141.0,11.42941223565968,0.027584210489737464
